problem,dim,f,normg,iteration,fevals,gevals,success,stopping_criteria
SPIN2LS,102,20.135871411204082,45.813731509899306,1000,1103,101,False,Max iteration
QING,100,51107.35612643385,29111.267251736772,1000,1101,101,False,Max iteration
LUKSAN21LS,100,97.0202528636484,0.7580297124250522,1000,1101,101,False,Max iteration
VANDANMSLS,22,11.8185030414293,0.056679222988613456,1000,1023,101,False,Max iteration
SENSORS,100,-2101.781249993247,0.0052186209293679725,976,1076,98,False,TR radius too small
COATING,134,217.02683866300012,271.5040291251871,1000,1135,101,False,Max iteration
DMN15333LS,99,2067.170395216084,17544.843658871378,1000,1100,101,False,Max iteration
DIAMON3DLS,99,1643452.2948526854,2.4872721408071067e-08,1,100,1,True,First order condition met
LUKSAN22LS,100,24355.844551926926,484761.1915906991,33,133,4,False,TR radius too small
CHNROSNB,50,6434.437350013859,16996.033309453618,1000,1051,101,False,Max iteration
HYDCAR6LS,29,2.4560939810830567,15.081381897572406,1000,1030,101,False,Max iteration
TOINTQOR,50,1175.4722221463066,0.00018111027181605524,773,823,78,False,TR radius too small
STRTCHDV,10,1.8669705304511392e-09,9.07675189742638e-07,931,941,94,True,First order condition met
STRATEC,10,,,1,12,1,False,Objective is NaN
HILBERTB,10,2.8690228552416325e-14,7.697491883639274e-07,594,604,60,True,First order condition met
DMN15332LS,66,4958.7259627764015,19724.497119241012,1000,1067,101,False,Max iteration
LUKSAN15LS,100,27015.846760787113,3602833743126.4126,27,127,3,False,TR radius too small
METHANL8LS,31,6.42126252402257,495.4799899065478,1000,1032,101,False,Max iteration
LUKSAN17LS,100,16470.48131483005,15000.12025687153,1000,1101,101,False,Max iteration
TOINTPSP,50,245.7523636391087,100.85743531405602,1000,1051,101,False,Max iteration
METHANB8LS,31,0.005550276336998518,17.39771697885586,1000,1032,101,False,Max iteration
WATSON,12,0.021705657476672358,0.8643413248322542,1000,1013,101,False,Max iteration
LUKSAN13LS,98,36664.79465558556,1128.1681306969836,1000,1099,101,False,Max iteration
DMN37143LS,99,569.1242218917749,3.9421778561354647e-07,2,101,1,True,First order condition met
LUKSAN11LS,100,404.70307220907847,51.46483418475735,1000,1101,101,False,Max iteration
HATFLDGLS,25,0.026433652518337805,0.14933705943629141,1000,1026,101,False,Max iteration
DIAMON2DLS,66,1661981.3410453596,2.9613486100877976e-07,2,68,1,True,First order condition met
ERRINRSM,50,152873.0724054592,103167069.0858326,28,78,3,False,TR radius too small
LUKSAN16LS,100,,,1,102,1,False,Objective is NaN
ERRINROS,50,110181.77599999998,468201930.63595444,28,78,3,False,TR radius too small
TOINTGOR,50,1373.9852163124608,1.0339060903295818,1000,1051,101,False,Max iteration
OSBORNEB,11,0.3312902057727329,0.254904547611528,1000,1012,101,False,Max iteration
HYDC20LS,99,1305.8411956292355,8.494968808819238e+131,26,125,3,False,TR radius too small
LUKSAN14LS,98,26474.153523340912,113904.43725300573,46,144,5,False,TR radius too small
MANCINO,100,1103212554962.2144,0.008592319429159492,92,192,10,False,TR radius too small
DMN15103LS,99,1643473.743110293,6.711394534929849e-07,1,100,1,True,First order condition met
DMN37142LS,66,1228.5832370191547,20457.687209900505,1000,1067,101,False,Max iteration
TRIGON1,10,0.092158714389625,0.21460518420642605,1000,1011,101,False,Max iteration
PARKCH,15,,,1,17,1,False,Objective is NaN
CHNRSNBM,50,7421.930773618065,5826.7741453375065,1000,1051,101,False,Max iteration
TRIGON2,10,5.517211825083753,1.5928863292713136,1000,1011,101,False,Max iteration
LUKSAN12LS,98,32160.0,14538155.672948401,26,124,3,False,TR radius too small
