problem,dim,f,normg,iteration,fevals,gevals,success,stopping_criteria
SPIN2LS,102,15.9152146518941,119.7087230641504,1000,1103,201,False,Max iteration
QING,100,2779.556368134728,5357.434744598811,1000,1101,201,False,Max iteration
LUKSAN21LS,100,96.771048445714,0.5912897854539496,1000,1101,201,False,Max iteration
VANDANMSLS,22,11.991892148143316,0.014803488767088889,1000,1023,201,False,Max iteration
SENSORS,100,-2067.989207705973,9.406370798986107,1000,1101,201,False,Max iteration
COATING,134,106.95224772559793,95.71824837781205,1000,1135,201,False,Max iteration
DMN15333LS,99,48970.03285380671,93.51582850300248,81,180,17,False,TR radius too small
DIAMON3DLS,99,1643474.234849436,3.82041862680348e-08,2,101,1,True,First order condition met
LUKSAN22LS,100,1283.0911211693397,1759.5325271459574,1000,1101,201,False,Max iteration
CHNROSNB,50,6304.395241812417,4629.529382021837,1000,1051,201,False,Max iteration
HYDCAR6LS,29,6.002760264546643,274.9542389426735,1000,1030,201,False,Max iteration
TOINTQOR,50,1175.4722221462043,1.2701350755529359e-05,731,781,147,False,TR radius too small
STRTCHDV,10,1.9251789550543397e-09,8.806625272470074e-07,826,836,166,True,First order condition met
STRATEC,10,,,1,12,1,False,Objective is NaN
HILBERTB,10,1.065556223965831e-14,1.2665279935360351e-06,390,401,79,True,Model decrease below f tolerance
DMN15332LS,66,4038.8091796334684,87440.04490425561,1000,1067,201,False,Max iteration
LUKSAN15LS,100,27015.846760787113,1355694340225561.2,27,127,6,False,TR radius too small
METHANL8LS,31,4345.099764432137,4544721.9023601245,29,60,6,False,TR radius too small
LUKSAN17LS,100,11421.337894704355,34256.49125271701,1000,1101,201,False,Max iteration
TOINTPSP,50,244.96834480195832,577.821242547563,1000,1051,201,False,Max iteration
METHANB8LS,31,0.005031306714458803,6.383033225613561,1000,1032,201,False,Max iteration
WATSON,12,0.007177336146739849,0.5063836367697846,1000,1013,201,False,Max iteration
LUKSAN13LS,98,63710.41755683904,16950.054958054574,1000,1099,201,False,Max iteration
DMN37143LS,99,569.117106870263,6.627487412659546e-07,3,102,1,True,First order condition met
LUKSAN11LS,100,406.903043851919,51.600593516117094,1000,1101,201,False,Max iteration
HATFLDGLS,25,0.021583036436082576,0.6357148231219739,1000,1026,201,False,Max iteration
DIAMON2DLS,66,1661866.8347400706,6.294662371084111e-07,2,68,1,True,First order condition met
ERRINRSM,50,152873.0724054592,838458414.8454365,28,78,6,False,TR radius too small
LUKSAN16LS,100,,,1,102,1,False,Objective is NaN
ERRINROS,50,110181.74172773409,31440194.576180696,32,82,7,False,TR radius too small
TOINTGOR,50,1373.9058922790143,0.03129101221340653,1000,1051,201,False,Max iteration
OSBORNEB,11,0.27497061357365526,0.41111764839733805,1000,1012,201,False,Max iteration
HYDC20LS,99,1341.6625208673881,3.603690451953876e+129,26,125,6,False,TR radius too small
LUKSAN14LS,98,26479.20652486157,3710461.8467890928,33,131,7,False,TR radius too small
MANCINO,100,1287258.447487042,1376077.5624807626,1000,1101,201,False,Max iteration
DMN15103LS,99,1643496.4616040217,7.343842614942341e-08,2,101,1,True,First order condition met
DMN37142LS,66,383.69899853928246,206.54866719232456,1000,1067,201,False,Max iteration
TRIGON1,10,0.29515595811734924,0.020021492685008874,1000,1011,201,False,Max iteration
PARKCH,15,,,1,17,1,False,Objective is NaN
CHNRSNBM,50,7262.867628527119,12270.222445374748,1000,1051,201,False,Max iteration
TRIGON2,10,5.977549366987425,0.4737843038029559,1000,1011,201,False,Max iteration
LUKSAN12LS,98,32160.0,23670816051.78032,26,124,6,False,TR radius too small
