problem,dim,f,normg,iteration,fevals,gevals,success,stopping_criteria
SPIN2LS,102,6.692717089442824,39.57887650144826,1000,1103,201,False,Max iteration
QING,100,252.36852919123152,516.3249664782634,1000,1101,201,False,Max iteration
LUKSAN21LS,100,96.00698728630368,0.7600809558438831,1000,1101,201,False,Max iteration
VANDANMSLS,22,12.018130651477186,0.003444283433239735,1000,1023,201,False,Max iteration
SENSORS,100,-2101.7812499996658,0.0002758407404476679,413,513,83,False,TR radius too small
COATING,134,13.40279548273305,20.785881659313905,1000,1135,201,False,Max iteration
DMN15333LS,99,256234.43984947677,766.5708882625382,100,199,20,False,TR radius too small
DIAMON3DLS,99,1643465.9475606512,1.634766381723061e-07,1,100,1,True,First order condition met
LUKSAN22LS,100,24157.88276767749,688339.7309713439,35,135,7,False,TR radius too small
CHNROSNB,50,4430.602901204756,8420.591755343577,1000,1051,201,False,Max iteration
HYDCAR6LS,29,4.086191597235422,41.196281569766946,1000,1030,201,False,Max iteration
TOINTQOR,50,1175.4722221461857,1.0629202067514726e-05,483,533,97,False,TR radius too small
STRTCHDV,10,1.7640151475030347e-09,9.308840757437153e-07,701,711,141,True,First order condition met
STRATEC,10,,,1,12,1,False,Objective is NaN
HILBERTB,10,1.1420515206221833e-14,4.930297484562451e-07,151,161,31,True,First order condition met
DMN15332LS,66,1632.0002768970412,439.1740322128226,1000,1067,201,False,Max iteration
LUKSAN15LS,100,27015.846760787113,102456193466833.31,27,127,6,False,TR radius too small
METHANL8LS,31,4345.0997644961435,556888190772.825,28,59,6,False,TR radius too small
LUKSAN17LS,100,1963.3992063321123,5892.279599675984,1000,1101,201,False,Max iteration
TOINTPSP,50,228.57404053889059,34.655575867411834,1000,1051,201,False,Max iteration
METHANB8LS,31,0.0025040763777969986,2.2736782298462113,1000,1032,201,False,Max iteration
WATSON,12,0.007012527946945969,0.5950136244511187,1000,1013,201,False,Max iteration
LUKSAN13LS,98,63765.53202087193,66881.31776130722,1000,1099,201,False,Max iteration
DMN37143LS,99,569.1186522003892,4.8154455389217e-07,3,102,1,True,First order condition met
LUKSAN11LS,100,397.5087919157303,22.43464540642123,1000,1101,201,False,Max iteration
HATFLDGLS,25,0.008563014326224517,0.05159657044449837,1000,1026,201,False,Max iteration
DIAMON2DLS,66,1661935.5323360383,6.12820194937678e-07,1,67,1,True,First order condition met
ERRINRSM,50,152873.0724054592,527386558.1997696,28,78,6,False,TR radius too small
LUKSAN16LS,100,,,1,102,1,False,Objective is NaN
ERRINROS,50,110181.77599999998,40472758.75678059,28,78,6,False,TR radius too small
TOINTGOR,50,1373.9082155047095,0.27945938032871054,1000,1051,201,False,Max iteration
OSBORNEB,11,0.3165762154809221,0.1651121974693136,1000,1012,201,False,Max iteration
HYDC20LS,99,1305.845254149441,2.269560510213698e+131,26,125,6,False,TR radius too small
LUKSAN14LS,98,25040.686239465627,14948.280721387637,1000,1099,201,False,Max iteration
MANCINO,100,,,18,119,4,False,Objective is NaN
DMN15103LS,99,1643460.2753840247,8.056233886255676e-08,2,101,1,True,First order condition met
DMN37142LS,66,16335.756327413634,17519.774945781373,55,121,11,False,TR radius too small
TRIGON1,10,1.729167767745034e-06,0.002500890172931464,1000,1011,201,False,Max iteration
PARKCH,15,,,2,18,1,False,Objective is NaN
CHNRSNBM,50,3480.6421893388956,2148.5783919518567,1000,1051,201,False,Max iteration
TRIGON2,10,2.966756864422242,0.14277117861024605,1000,1011,201,False,Max iteration
LUKSAN12LS,98,32160.0,80557499678.0397,26,124,6,False,TR radius too small
