problem,dim,f,normg,iteration,fevals,gevals,success,stopping_criteria
SPIN2LS,102,20.135871411204082,45.813731509899306,1000,1103,101,False,Max iteration,SPIN2LS,102,10.373298365957007,40.4214781110213,1000,1103,101,False,Max iteration
QING,100,51107.35612643385,29111.267251736772,1000,1101,101,False,Max iteration,QING,100,5676.100166844268,15042.23746695319,1000,1101,101,False,Max iteration
LUKSAN21LS,100,97.0202528636484,0.7580297124250522,1000,1101,101,False,Max iteration,LUKSAN21LS,100,95.17788413736999,0.2586962695181203,1000,1101,101,False,Max iteration
VANDANMSLS,22,11.8185030414293,0.056679222988613456,1000,1023,101,False,Max iteration,VANDANMSLS,22,11.911044186493905,0.0067672107392880146,1000,1023,101,False,Max iteration
SENSORS,100,-2101.781249993247,0.0052186209293679725,976,1076,98,False,TR radius too small,SENSORS,100,-2105.9999999970314,0.002717928558274061,678,778,68,False,TR radius too small
COATING,134,217.02683866300012,271.5040291251871,1000,1135,101,False,Max iteration,COATING,134,106.50056959170419,133.80950659198186,1000,1135,101,False,Max iteration
DMN15333LS,99,2067.170395216084,17544.843658871378,1000,1100,101,False,Max iteration,DMN15333LS,99,86978.20724863664,3495.3251520427793,1000,1100,101,False,Max iteration
DIAMON3DLS,99,1643452.2948526854,2.4872721408071067e-08,1,100,1,True,First order condition met,DIAMON3DLS,99,1643519.1456229412,8.731159332440599e-07,2,101,1,True,First order condition met
LUKSAN22LS,100,24355.844551926926,484761.1915906991,33,133,4,False,TR radius too small,LUKSAN22LS,100,24803.275844398737,886584.0216460807,93,193,10,False,TR radius too small
CHNROSNB,50,6434.437350013859,16996.033309453618,1000,1051,101,False,Max iteration,CHNROSNB,50,6208.988680635803,37388.972441806,1000,1051,101,False,Max iteration
HYDCAR6LS,29,2.4560939810830567,15.081381897572406,1000,1030,101,False,Max iteration,HYDCAR6LS,29,1.9548378832261857,6.002403271080037,1000,1030,101,False,Max iteration
TOINTQOR,50,1175.4722221463066,0.00018111027181605524,773,823,78,False,TR radius too small,TOINTQOR,50,1175.4722221461764,3.52054751931262e-05,495,545,50,False,TR radius too small
STRTCHDV,10,1.8669705304511392e-09,9.07675189742638e-07,931,941,94,True,First order condition met,STRTCHDV,10,7.043348618867617e-10,9.386960928102273e-07,732,742,74,True,First order condition met
STRATEC,10,,,1,12,1,False,Objective is NaN,STRATEC,10,,,1,12,1,False,Objective is NaN
HILBERTB,10,2.8690228552416325e-14,7.697491883639274e-07,594,604,60,True,First order condition met,HILBERTB,10,2.8128179110736503e-14,8.225334287923378e-07,255,265,26,True,First order condition met
DMN15332LS,66,4958.7259627764015,19724.497119241012,1000,1067,101,False,Max iteration,DMN15332LS,66,158559.7201299328,36.90762454650674,44,110,5,False,TR radius too small
LUKSAN15LS,100,27015.846760787113,3602833743126.4126,27,127,3,False,TR radius too small,LUKSAN15LS,100,27015.846760787113,192542842118.9712,27,127,3,False,TR radius too small
METHANL8LS,31,6.42126252402257,495.4799899065478,1000,1032,101,False,Max iteration,METHANL8LS,31,3.2326960462841297,23.357984604944463,1000,1032,101,False,Max iteration
LUKSAN17LS,100,16470.48131483005,15000.12025687153,1000,1101,101,False,Max iteration,LUKSAN17LS,100,841144.4668180324,3215.1694514646883,1000,1101,101,False,Max iteration
TOINTPSP,50,245.7523636391087,100.85743531405602,1000,1051,101,False,Max iteration,TOINTPSP,50,383.0966985206525,656.6035460572724,1000,1051,101,False,Max iteration
METHANB8LS,31,0.005550276336998518,17.39771697885586,1000,1032,101,False,Max iteration,METHANB8LS,31,0.0014865690421689737,0.09251159235827396,1000,1032,101,False,Max iteration
WATSON,12,0.021705657476672358,0.8643413248322542,1000,1013,101,False,Max iteration,WATSON,12,0.0007574406161777323,0.0058130395783856405,1000,1013,101,False,Max iteration
LUKSAN13LS,98,36664.79465558556,1128.1681306969836,1000,1099,101,False,Max iteration,LUKSAN13LS,98,60911.44373369253,17252.214807056847,1000,1099,101,False,Max iteration
DMN37143LS,99,569.1242218917749,3.9421778561354647e-07,2,101,1,True,First order condition met,DMN37143LS,99,569.1172726885382,5.93754703766418e-07,1,100,1,True,First order condition met
LUKSAN11LS,100,404.70307220907847,51.46483418475735,1000,1101,101,False,Max iteration,LUKSAN11LS,100,407.3448001944032,17.92433042316231,1000,1101,101,False,Max iteration
